address,property_id,square_meters,total_floors,floor,type,price,days_on_market,rooms,city
"250 High St, Berlin",ID012715,20,29,17,Residential,2966921,115,1,Berlin
"225 High St, Berlin",ID017686,20,17,1,Residential,3259048,247,5,Berlin
"29 High St, Berlin",ID015698,20,22,5,Commercial,7071926,167,5,Berlin
"179 Broadway, Berlin",ID017078,20,21,25,Commercial,7759168,266,9,Berlin
"60 Broadway, Berlin",ID020426,20,9,27,Residential,8320308,288,5,Berlin
"143 Broadway, Berlin",ID010367,21,17,14,Residential,179450,92,3,Berlin
"207 Broadway, Berlin",ID023174,21,1,19,Commercial,6732707,64,2,Berlin
"127 Park Ave, Berlin",ID023812,21,2,6,Commercial,8533598,11,1,Berlin
"277 Park Ave, Berlin",ID021754,22,11,26,Residential,616829,275,8,Berlin
"153 High St, Berlin",ID010531,22,17,14,Residential,3893170,71,4,Berlin
"96 Broadway, Berlin",ID020563,22,3,14,Commercial,4375591,24,7,Berlin
"211 Park Ave, Berlin",ID024828,22,1,20,Commercial,8176926,208,9,Berlin
"75 Main St, Berlin",ID016099,23,15,1,Residential,2911479,319,6,Berlin
"101 Park Ave, Berlin",ID020671,23,21,1,Commercial,3833731,62,9,Berlin
"291 Main St, Berlin",ID017493,23,25,6,Commercial,5605948,283,2,Berlin
"6 High St, Berlin",ID016571,23,14,14,Commercial,5670954,278,6,Berlin
"232 Park Ave, Berlin",ID010567,23,15,29,Commercial,8310534,109,2,Berlin
"276 High St, Berlin",ID024386,23,29,3,Commercial,8343533,135,3,Berlin
"51 Park Ave, Berlin",ID004752,23,23,15,Commercial,8877247,283,9,Berlin
"278 Park Ave, Berlin",ID015336,24,5,20,Residential,1328109,67,5,Berlin
"236 Main St, Berlin",ID025040,24,3,29,Commercial,1489079,214,8,Berlin
"127 Broadway, Berlin",ID024394,24,14,28,Commercial,3326233,292,5,Berlin
"256 High St, Berlin",ID002550,24,1,25,Commercial,9690471,65,4,Berlin
"235 Main St, Berlin",ID011639,25,27,15,Residential,1105237,186,4,Berlin
"25 Main St, Berlin",ID020283,25,28,13,Residential,2215748,188,3,Berlin
"276 High St, Berlin",ID000843,25,12,3,Commercial,3868263,139,4,Berlin
"246 Park Ave, Berlin",ID003850,25,11,9,Residential,5061992,102,3,Berlin
"254 Main St, Berlin",ID010215,25,4,9,Commercial,6972017,60,6,Berlin
"226 Main St, Berlin",ID011224,25,12,5,Residential,8344510,61,6,Berlin
"107 Main St, Berlin",ID012650,26,23,13,Commercial,1941783,38,7,Berlin
"38 Broadway, Berlin",ID021973,26,9,13,Commercial,4344702,236,8,Berlin
"253 Park Ave, Berlin",ID002183,26,23,11,Commercial,4652551,114,6,Berlin
"91 Main St, Berlin",ID024292,26,18,25,Residential,6954633,84,9,Berlin
"126 High St, Berlin",ID010871,27,19,21,Residential,1692648,248,7,Berlin
"174 Main St, Berlin",ID015956,27,17,11,Residential,4075505,351,5,Berlin
"125 Park Ave, Berlin",ID002974,27,28,9,Commercial,6514621,288,6,Berlin
"183 High St, Berlin",ID013452,28,11,17,Residential,2157060,65,6,Berlin
"189 Park Ave, Berlin",ID002958,28,13,25,Residential,3315204,252,8,Berlin
"282 High St, Berlin",ID012938,28,15,9,Commercial,5466317,78,3,Berlin
"277 High St, Berlin",ID010694,28,20,7,Residential,5913997,307,1,Berlin
"47 Park Ave, Berlin",ID001444,29,12,29,Residential,4189667,105,7,Berlin
"137 Park Ave, Berlin",ID019445,29,11,23,Commercial,8218158,152,9,Berlin
"200 High St, Berlin",ID011449,30,1,24,Residential,594322,4,7,Berlin
"93 Park Ave, Berlin",ID011196,30,9,27,Commercial,1015741,146,4,Berlin
"4 Main St, Berlin",ID016628,30,17,22,Commercial,1082912,40,5,Berlin
"94 Park Ave, Berlin",ID008155,30,18,25,Residential,4648210,247,1,Berlin
"210 High St, Berlin",ID013722,30,20,29,Commercial,5190865,284,7,Berlin
"48 Park Ave, Berlin",ID012969,30,13,14,Commercial,7612837,226,3,Berlin
"246 Broadway, Berlin",ID003741,30,15,28,Residential,8388610,313,4,Berlin
"103 Broadway, Berlin",ID004670,30,15,28,Commercial,8721311,27,2,Berlin
"190 Broadway, Berlin",ID000054,31,6,1,Commercial,4931882,218,3,Berlin
"102 High St, Berlin",ID021063,31,19,1,Commercial,8107809,1,4,Berlin
"29 Park Ave, Berlin",ID021665,32,6,4,Residential,1184741,55,4,Berlin
"287 High St, Berlin",ID019013,32,2,17,Commercial,2040950,251,7,Berlin
"205 Broadway, Berlin",ID019699,32,17,19,Commercial,2520325,78,5,Berlin
"259 Broadway, Berlin",ID006979,32,3,23,Residential,4442946,213,5,Berlin
"112 Main St, Berlin",ID007684,32,29,25,Commercial,5759605,178,9,Berlin
"147 Main St, Berlin",ID022837,32,25,19,Residential,7071062,115,7,Berlin
"129 High St, Berlin",ID009349,32,29,21,Commercial,7388351,199,9,Berlin
"38 Park Ave, Berlin",ID021016,32,16,8,Commercial,7399327,25,6,Berlin
"154 Park Ave, Berlin",ID016030,32,11,5,Residential,7623096,99,8,Berlin
"253 Main St, Berlin",ID009170,32,14,13,Commercial,7913895,259,2,Berlin
"199 Main St, Berlin",ID015252,33,4,15,Residential,943589,225,8,Berlin
"140 High St, Berlin",ID006934,33,12,27,Commercial,1335586,231,7,Berlin
"151 Main St, Berlin",ID009215,33,22,6,Residential,8708745,82,2,Berlin
"1 Main St, Berlin",ID003924,34,20,27,Commercial,4462600,28,6,Berlin
"202 Park Ave, Berlin",ID019701,34,11,10,Residential,6847913,148,5,Berlin
"12 Broadway, Berlin",ID022545,34,15,27,Residential,8602307,76,2,Berlin
"33 Broadway, Berlin",ID002401,35,5,29,Commercial,2318358,207,6,Berlin
"249 High St, Berlin",ID019353,35,13,10,Commercial,4056853,266,8,Berlin
"73 Main St, Berlin",ID023025,35,21,6,Commercial,4881240,329,8,Berlin
"59 Park Ave, Berlin",ID024128,35,19,27,Residential,5175851,100,6,Berlin
"285 Main St, Berlin",ID021945,35,21,5,Commercial,6439271,107,2,Berlin
"116 High St, Berlin",ID002791,35,6,28,Commercial,6882971,58,6,Berlin
"116 Park Ave, Berlin",ID018275,36,6,18,Residential,1994057,334,5,Berlin
"222 Park Ave, Berlin",ID003663,36,4,23,Commercial,3612548,300,5,Berlin
"116 Main St, Berlin",ID009455,36,3,25,Residential,5636522,242,2,Berlin
"18 Broadway, Berlin",ID005124,36,29,12,Residential,5822031,140,1,Berlin
"156 Park Ave, Berlin",ID003336,36,12,6,Commercial,9432675,82,4,Berlin
"90 Broadway, Berlin",ID006469,36,3,10,Commercial,9444347,208,1,Berlin
"225 Park Ave, Berlin",ID014167,37,15,10,Commercial,246797,115,7,Berlin
"174 Main St, Berlin",ID002123,37,2,29,Commercial,4407179,38,9,Berlin
"142 Main St, Berlin",ID019524,38,7,27,Residential,4800953,94,2,Berlin
"34 Main St, Berlin",ID018508,38,2,26,Residential,5795666,296,6,Berlin
"169 High St, Berlin",ID022482,38,15,25,Commercial,6182874,72,4,Berlin
"50 Main St, Berlin",ID004823,38,20,18,Residential,6880219,47,9,Berlin
"239 Broadway, Berlin",ID025609,38,15,19,Residential,7540132,39,3,Berlin
"94 Main St, Berlin",ID009956,38,10,27,Residential,8691815,96,6,Berlin
